Address,Longitude,Type,Latitude,Time
BELMONT AV / E PIKE ST,-122.324458,Aid Response,47.614094,11:25:00 AM
416 2nd Av Et S,-122.33161,Aid Response,47.601311,11:27:00 AM
3917 University Way Ne,-122.313306,Aid Response,47.654544,11:31:00 AM
8415 8th Av Nw,-122.365995,Aid Response,47.68995,11:45:00 AM
4507 S Trenton St,-122.275764,Trans to AMR,47.524253,11:46:00 AM
3204 Sw Morgan St,-122.373777,Aid Response,47.544669,11:58:00 AM
832 Ne 59th St,-122.319653,Aid Response,47.671495,12:04:00 PM
24th Av Nw / Nw 61st St,-122.387587,Medic Response,47.673103,12:11:00 PM
2215 1st Av,-122.345399,Auto Fire Alarm,47.612716,12:20:00 PM
4th Av / Pine St,-122.337592,Aid Response,47.611207,12:25:00 PM
4221 S Findlay St,-122.28058,Medic Response,47.551937,12:29:00 PM
330 19th Av E,-122.307342,Aid Response,47.620954,12:33:00 PM
Sb I5 At Mercer,-122.328659,MVI Freeway,47.622727,12:36:00 PM
5039 11th Av Ne,-122.316331,Alarm Bell,47.665218,12:38:00 PM
1415 2nd Av,-122.338125,Aid Response,47.608434,12:40:00 PM
10527 15th Av Nw,-122.376582,Automatic Medical Alarm,47.705765,12:41:00 PM
2709 3rd Av,-122.348974,Medic Response,47.617176,12:47:00 PM
3613 4th Av S,-122.329062,Aid Response,47.570724,12:50:00 PM
3802 S Othello St,-122.28468,Aid Response,47.537035,12:52:00 PM
Ne 70th St / 25th Av Ne,-122.300664,Medic Response- 6 per Rule,47.679409,01:06:00 PM
3500 Ne 96th St,-122.290573,Aid Response,47.698347,01:09:00 PM
607 3RD AV,-122.331449,Aid Response,47.602813,01:12:00 PM
4557 11th Av Ne,-122.316566,Aid Response,47.661812,01:16:00 PM
153 34TH AV E,-122.288813,Medic Response,47.619352,01:22:00 PM
8601 Rainier Av S,-122.269983,Medic Response,47.526164,01:27:00 PM
9220 31st Av Sw,-122.372664,Aid Response,47.520555,01:27:00 PM
1600 S Lane St,-122.311586,Aid Response,47.59665,01:29:00 PM
11219 Roosevelt Way Ne,-122.317863,Aid Response,47.710562,01:40:00 PM
Sb I5 Cd Fr 4,-122.321285,MVI Freeway,47.590095,01:42:00 PM
1600 E Olive St,-122.311456,Medic Response,47.616446,01:42:00 PM
85 S Lander St,-122.334868,Aid Response,47.579811,01:43:00 PM
11038 35th Av Ne,-122.290755,Aid Response,47.708596,01:44:00 PM
1400 S Lane St,-122.314056,Aid Response,47.596654,01:49:00 PM
314 Ne Thornton Pl,-122.325649,Aid Response,47.702236,01:52:00 PM
1514 Sw Holden St,-122.354063,Aid Response,47.533685,02:01:00 PM
5433 Leary Av Nw,-122.383712,Aid Response,47.668015,02:04:00 PM
Ne 145th St / 8th Av Ne,-122.3208,MVI - Motor Vehicle Incident,47.734028,02:07:00 PM
4111 Ne 92nd St,-122.283527,Aid Response,47.69552,02:18:00 PM
2121 26th Av S,-122.299024,Rescue Elevator,47.584234,02:19:00 PM
1150 Fairview Av N,-122.330242,Aid Response,47.629234,02:32:00 PM
6400 Sylvan Way Sw,-122.372534,Aid Response,47.544653,02:36:00 PM
4700 12th Av Ne,-122.315263,Medic Response,47.663106,02:45:00 PM
3020 Ne 127th St,-122.295892,Aid Response,47.721092,02:50:00 PM
1075 Lake Washington Blvd E,-122.293835,Aid Response,47.628041,03:01:00 PM
7047 25th Av Nw,-122.388684,Aid Response,47.679769,03:04:00 PM
1811 Eastlake Av,-122.329182,Aid Response,47.618002,03:09:00 PM
517 3rd Av,-122.330863,Trans to AMR,47.602172,03:11:00 PM
2271 N 54th St,-122.33266,Automatic Fire Alarm Resd,47.667935,03:14:00 PM
M L King Jr Way S / S Graham St,-122.285631,Aid Response,47.546057,03:27:00 PM
25th Av Ne / Ne 70th St,-122.300664,Investigate Out Of Service,47.679409,03:28:00 PM
11030 5th Av Ne,-122.323301,Medic Response,47.709488,03:34:00 PM
4th Av / Virginia St,-122.340033,Rubbish Fire,47.613063,03:36:00 PM
1811 Eastlake Av,-122.329182,Aid Response,47.618002,03:46:00 PM
2757 6th Av S,-122.325977,Aid Response,47.579209,03:48:00 PM
1111 E Columbia St,-122.31678,Aid Response,47.609227,03:50:00 PM
2865 EASTLAKE AV E,-122.324996,Aid Response,47.646766,03:54:00 PM
2865 Eastlake Av E,-122.324996,Aid Response,47.646766,03:54:00 PM
6th Av S / S Lane St,-122.32637,Aid Response,47.596676,04:07:00 PM
713 23rd Av,-122.302769,Aid Response,47.608133,04:08:00 PM
3005 Rainier Av S,-122.297004,Aid Response,47.576848,04:11:00 PM
6220 32nd Av Ne,-122.293258,Auto Fire Alarm,47.674094,04:15:00 PM
1552 Magnolia Way W,-122.390371,Trans to AMR,47.632691,04:24:00 PM
100 W Mercer St,-122.358016,Aid Response,47.624588,04:26:00 PM
MONTLAKE BLVD NE / NE PACIFIC ST,-122.304591,Boat Under 50' Fire Water,47.648997,04:33:00 PM
850 - 899 Broadway,-122.320759,Medic Response,47.610024,04:35:00 PM
5300 24th Av Ne,-122.301946,Aid Response,47.66707,04:39:00 PM
10049 College Way N,-122.335029,Aid Response,47.701742,04:41:00 PM
4537 49th Av Ne,-122.27467,Automatic Fire Alarm Resd,47.66161,04:45:00 PM
1500 Broadway,-122.32078,Assault w/Weap 7 per Rule,47.614076,04:45:00 PM
2nd Av S / S Main St,-122.331573,Aid Response,47.600041,04:52:00 PM
Nw 95th St / 8th Av Nw,-122.366035,MVI - Motor Vehicle Incident,47.697865,05:05:00 PM
204 3rd Av S,-122.330271,Aid Response,47.600843,05:06:00 PM
624 N 34th St,-122.350922,Medic Response,47.649766,05:13:00 PM
26th Av Sw / Sw Andover St,-122.365429,MVI - Motor Vehicle Incident,47.568344,05:27:00 PM
Nb I5 To Lakeview,-122.324055,Aid Response Freeway,47.632258,05:39:00 PM
1350 Ne Campus Pkwy,-122.313829,Aid Response,47.65622,05:44:00 PM
Rainier Av S / 33rd Av S,-122.291023,Aid Response,47.569938,05:46:00 PM
Nw 43rd St / 3rd Av Nw,-122.360803,MVI - Motor Vehicle Incident,47.65895,05:48:00 PM
SB I5 AT SHIP CANAL BRIDGE,-122.322987,MVI Freeway,47.646334,05:50:00 PM
Brooklyn Av Ne / Ne 42nd St,-122.314363,Trans to AMR,47.658329,05:53:00 PM
SB I5 AT 50,-122.322412,MVI Freeway,47.661199,06:05:00 PM
Westlake Av / 6th Av,-122.337563,Aid Response,47.613947,06:12:00 PM
101 Ne 50th St,-122.328251,MVI - Motor Vehicle Incident,47.665003,06:15:00 PM
E Olive Way / Belmont Av E,-122.324011,Aid Response,47.619666,06:24:00 PM
12th Av S / S Jackson St,-122.317225,Aid Response,47.599187,06:25:00 PM
Sb I5 At 117,-122.327503,MVI Freeway,47.713612,06:30:00 PM
521 Stadium Pl S,-122.331585,Rescue Elevator,47.597968,06:42:00 PM
7th Av S / S Michigan St,-122.325036,MVI - Motor Vehicle Incident,47.546547,06:42:00 PM
Sb I5 At Sr520,-122.323292,MVI Freeway,47.636676,06:42:00 PM
1828 Yale Av,-122.330057,Aid Response,47.617717,06:45:00 PM
9525 40th Av Ne,-122.28528,Aid Response,47.697642,06:47:00 PM
8th Av Nw / Nw 85th St,-122.365993,Aid Response,47.690655,06:51:00 PM
